nct_id,cohort,type_colorectal_adeno,type_colorectal_nonadeno,type_lung_nsclc_adeno,type_lung_nsclc_large,type_lung_nsclc_squamous,type_lung_sclc,stage_i,stage_ii,stage_iii,stage_iv,stage_sclc_ls,stage_sclc_es,status_newly_diagnosed,status_relapse,status_refractory,marker_alk_oncogene,marker_egfr_mutation,marker_kras_mutation,treatment_radiation,treatment_radiation_exclusion_period_mo,treatment_chemo_systemic,treatment_chemo_systemic_exclusion_period_mo,treatment_chemo_adjuvant,treatment_chemo_adjuvant_exclusion_period_mo,treatment_tki,treatment_tki_exclusion_period_mo
NCT02367794,1,,,,,include,,,,,include,,,,,,,,,,,,,,,,
NCT00858364,1,,,include,include,include,,,,,include,,,,exclude,,,,,,,,,,,,
NCT02366143,1,,,include,include,,,,,,include,,,,,,,,,,,,,,,,
NCT02364999,1,,,include,include,,,,,include,include,,,require,,,exclude,exclude,,,,exclude,1800,,,,
NCT02364999,2,,,include,include,,,include,include,,,,,,require,,exclude,exclude,,,,exclude,1800,,,,
NCT02477826,1,,,include,include,include,,,,,include,,,,,,,,,,,exclude,1800,,,,
NCT02477826,2,,,include,include,include,,include,include,include,,,,,require,,,,,,,exclude,1800,,,,
NCT02152631,1,,,include,include,include,,,,,include,,,,,,,,require,,,require,,,,,
NCT02272413,1,,,include,include,,,,,,include,,,,,,require_alk_or_egfr,require_alk_or_egfr,,exclude,12,exclude,12,,,,
NCT02272413,2,,,include,include,,,,,,include,,,,,,,,,exclude,12,require,,,,,
NCT02272413,3,,,include,include,,,include,include,include,,,,,require,,require_alk_or_egfr,require_alk_or_egfr,,exclude,12,exclude,12,,,,
NCT02272413,4,,,include,include,,,include,include,include,,,,,require,,,,,exclude,12,require,,,,,
NCT02538666,1,,,,,,include,,,,,,include,,,,,,,,,require,,,,,
NCT02367781,1,,,include,include,,,,,,include,,,,,,,,,,,,,,,,
NCT02542293,1,,,include,include,include,,,,,include,,,,,,exclude,exclude,,,,exclude,1800,,,,
NCT02576574,1,,,include,include,include,,,,,include,,,,,,exclude,exclude,,,,exclude,1800,,,,
NCT02576574,2,,,include,include,include,,include,include,include,,,,,require,,exclude,exclude,,,,exclude,1800,,,,
NCT02588261,1,,,include,,,,,,include,include,,,require,,,,,,,,,,,,,
NCT02588261,2,,,include,,,,,,include,include,,,,require,,,,,,,,,,,,
NCT02395172,1,,,include,include,,,,,include,include,,,,,,exclude,exclude,,,,require,,,,,
NCT02395172,2,,,include,include,,,include,include,,,,,,require,,exclude,exclude,,,,require,,,,,
NCT02409342,1,,,include,include,include,,,,,include,,,require,,,exclude,exclude,,exclude,1800,exclude,1800,exclude,1800,,
NCT02409342,2,,,include,include,include,,,,,include,,,,,,require_alk_or_egfr,require_alk_or_egfr,,,,,,,,,
NCT02027428,1,,,,,include,,,,include,include,,,,,,,,,,,exclude,1800,exclude,12,,
NCT02411448,1,,,include,include,include,,,,,include,,,,,,,exclude,,,,,,,,,
NCT02713867,1,,,include,include,include,,,,include,include,,,,,,,,,,,,,,,,
NCT02713867,2,,,include,include,include,,include,include,,,,,,require,,,,,,,,,,,,
NCT01630733,1,,,include,include,include,,,,,include,,,,,,,exclude,,,,require,,,,,
